word_form	all	news	fiction
aasta	1130	979	151
aastaid	98	41	57
aastal	779	715	64
aastat	642	413	229
aastate	117	78	39
abi	154	102	52
abil	127	92	35
aeg	484	175	309
aega	626	253	373
aeg-ajalt	105	37	68
aga	5274	1816	3458
ah	143	4	139
aina	159	34	125
ainult	1382	502	880
ainus	119	62	57
aitab	104	57	47
aja	307	132	175
ajaks	120	67	53
ajal	814	460	354
ajas	137	24	113
akna	126	12	114
alates	179	163	16
alati	502	178	324
algab	99	67	32
algul	170	94	76
alguses	160	111	49
all	720	251	469
alla	931	396	535
alles	596	232	364
alt	210	71	139
alusel	110	108	2
ammu	142	40	102
anda	311	176	135
andis	278	123	155
andma	97	58	39
andmetel	106	106	0
andnud	182	90	92
annab	281	209	72
antud	203	138	65
aru	540	162	378
arv	99	87	12
arvan	138	89	49
arvas	151	69	82
arvata	132	55	77
arvates	217	169	48
asemel	218	106	112
asi	400	149	251
asja	281	127	154
asjad	126	42	84
asju	162	70	92
astus	208	37	171
asub	104	74	30
asus	104	38	66
auto	271	133	138
avatud	162	126	36
balti	133	125	8
direktor	122	83	39
edasi	608	234	374
eelkõige	126	117	9
eelmise	106	95	11
eelmisel	147	123	24
eemale	116	29	87
ees	743	235	508
eest	1305	767	538
eesti	402	325	77
ega	1204	355	849
ehk	678	347	331
ehkki	195	75	120
ei	13810	5456	8354
eile	634	558	76
eks	262	63	199
elab	131	66	65
elada	128	52	76
elanud	98	42	56
elas	110	13	97
elu	698	230	468
elus	212	73	139
ema	648	91	557
enam	1386	477	909
enamasti	124	66	58
enamik	117	93	24
end	772	218	554
enda	536	195	341
endale	521	209	312
endast	135	52	83
endine	119	82	37
endiselt	111	64	47
ennast	504	143	361
enne	891	433	458
ent	528	192	336
eriti	468	269	199
esialgu	139	78	61
esile	101	65	36
esimees	241	213	28
esimehe	109	93	16
esimene	321	181	140
esimese	233	162	71
esimesel	131	85	46
esimest	167	78	89
et	12314	6181	6133
ette	934	424	510
firma	224	215	9
hakanud	194	58	136
hakata	215	126	89
hakka	95	42	53
hakkab	343	184	159
hakkama	170	88	82
hakkas	556	81	475
hakkasid	108	28	80
hakkavad	131	86	45
hea	625	287	338
head	224	111	113
heaks	96	61	35
hetkel	223	92	131
hiljem	447	228	219
hiljuti	96	70	26
hind	126	120	6
hinge	131	21	110
hinnangul	194	191	3
hoida	192	104	88
hoidis	102	24	78
homme	168	62	106
hommikul	321	117	204
hoolimata	130	64	66
hoone	119	96	23
hoopis	399	158	241
hulgas	182	127	55
hulk	110	61	49
hulka	124	76	48
huvi	186	122	64
huvitav	105	45	60
härra	187	20	167
hästi	488	237	251
hääl	175	25	150
hüüdis	96	9	87
iga	680	368	312
igal	306	151	155
igatahes	156	29	127
igaüks	105	39	66
ikka	948	257	691
ikkagi	292	112	180
ilm	104	66	38
ilma	483	236	247
ilmselt	384	250	134
ilmus	110	33	77
ilus	180	31	149
inglise	107	78	29
inimene	407	177	230
inimese	251	112	139
inimesed	440	250	190
inimesi	228	114	114
inimest	282	197	85
inimeste	234	120	114
